Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
401,0.04,0.14,0.32,0.0,0.06,0.04,0.58,0.45,0.34,0.82,0.13,0.81,0.03,0.32,0.04
402,0.25,0.24,0.35,0.29,0.34,0.37,0.38,0.22,0.36,0.31,0.26,0.22,0.22,0.23,0.25
403,0.2,0.21,0.2,0.18,0.21,0.21,0.21,0.19,0.21,0.2,0.17,0.21,0.2,0.21,0.2
404,0.25,0.23,0.24,0.31,0.26,0.24,0.27,0.29,0.27,0.24,0.23,0.34,0.3,0.26,0.2
405,0.23,0.13,0.28,0.25,0.21,0.23,0.22,0.25,0.14,0.22,0.21,0.2,0.12,0.17,0.26
406,0.1,0.13,0.06,0.07,0.06,0.13,0.13,0.13,0.09,0.1,0.08,0.1,0.13,0.12,0.12
407,0.3,0.35,0.3,0.24,0.32,0.35,0.42,0.51,0.23,0.22,0.28,0.46,0.24,0.44,0.37
408,0.37,0.39,0.25,0.27,0.37,0.38,0.45,0.36,0.44,0.31,0.33,0.49,0.36,0.33,0.39
409,0.09,0.11,0.09,0.09,0.17,0.08,0.12,0.09,0.1,0.12,0.1,0.08,0.1,0.07,0.09
410,0.52,0.6,0.45,0.55,0.51,0.62,0.57,0.54,0.53,0.51,0.47,0.62,0.59,0.6,0.62
411,0.11,0.11,0.1,0.11,0.15,0.14,0.18,0.14,0.11,0.12,0.11,0.1,0.1,0.11,0.15
412,0.2,0.45,0.36,0.2,0.33,0.14,0.07,0.45,0.35,0.32,0.36,0.44,0.09,0.54,0.43
413,0.32,0.18,0.35,0.27,0.25,0.2,0.34,0.3,0.22,0.26,0.2,0.27,0.2,0.07,0.19
414,0.19,0.22,0.22,0.18,0.25,0.17,0.19,0.17,0.17,0.31,0.13,0.28,0.18,0.22,0.21
415,0.63,0.55,0.74,0.64,0.51,0.56,0.6,0.45,0.49,0.83,0.69,0.46,0.54,0.67,0.79
416,0.26,0.27,0.28,0.31,0.27,0.29,0.29,0.28,0.3,0.24,0.23,0.29,0.28,0.27,0.27
417,0.01,0.18,0.29,0.3,0.28,0.27,0.19,0.3,0.3,0.1,0.33,0.12,0.07,0.01,0.34
