Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
401,0.0,0.2,0.8,0.0,0.2,0.0,1.0,0.4,0.6,1.0,0.2,1.0,0.0,0.4,0.0
402,0.6,0.8,1.0,0.8,0.6,0.8,1.0,0.8,1.0,1.0,0.6,1.0,0.6,0.8,0.4
403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,0.8,1.0,1.0
404,0.6,0.0,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.2,0.4,0.0,0.0,0.6
405,0.6,0.6,0.4,0.6,0.4,0.8,0.8,0.8,0.4,0.6,0.6,0.8,0.2,0.4,0.6
406,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.6
407,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.2,0.8,0.8,0.8,0.6,1.0,1.0
408,0.4,0.6,0.4,0.6,0.4,0.2,0.2,0.8,0.2,0.8,0.6,0.8,0.6,0.4,0.6
409,0.4,0.2,0.2,0.2,0.6,0.6,0.4,0.4,0.4,0.8,0.2,0.8,0.2,0.2,0.2
410,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
411,0.6,0.6,0.6,0.4,1.0,0.4,0.8,1.0,0.8,1.0,0.8,0.4,0.4,0.6,1.0
412,0.4,1.0,1.0,0.2,0.6,0.2,0.0,1.0,1.0,1.0,1.0,0.8,0.2,1.0,0.8
413,1.0,0.6,0.6,1.0,0.8,0.2,0.8,1.0,0.4,0.8,0.2,1.0,0.6,0.0,0.6
414,0.2,0.4,0.4,0.6,0.4,0.4,0.6,0.6,0.4,1.0,0.6,0.8,0.4,0.4,0.6
415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0
416,0.4,0.0,0.8,0.6,0.8,0.2,0.2,1.0,0.0,0.2,0.4,0.8,0.4,0.2,0.4
417,0.0,1.0,1.0,0.8,0.4,0.8,0.4,1.0,0.8,0.0,1.0,0.6,0.2,0.0,1.0
418,0.8,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0
419,0.2,0.2,0.4,0.4,0.4,0.4,0.6,0.8,0.2,0.4,0.0,0.6,0.2,0.2,0.8
420,1.0,1.0,0.4,1.0,1.0,0.8,0.8,1.0,0.8,0.4,1.0,0.8,0.8,0.8,1.0
421,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,0.8,0.0,0.0,0.2
422,0.8,1.0,0.8,0.8,0.0,0.0,0.2,1.0,0.6,1.0,0.8,0.8,0.4,0.6,1.0
423,0.8,0.8,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.8,1.0,0.8,0.8,1.0
424,0.6,0.4,0.6,0.2,0.6,0.2,0.6,1.0,0.6,1.0,0.8,0.8,0.0,0.4,0.6
425,1.0,1.0,0.6,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0
426,0.2,0.0,0.0,0.0,0.8,0.0,0.8,1.0,0.6,0.8,0.2,1.0,0.2,0.0,0.8
427,0.8,0.2,0.6,0.8,0.4,0.6,0.4,1.0,0.6,1.0,0.6,0.8,0.4,0.6,0.2
428,0.6,0.4,0.4,0.0,0.6,0.4,0.6,0.8,0.6,1.0,0.0,1.0,0.2,0.4,0.4
429,0.4,0.2,0.4,0.4,0.2,0.2,0.2,1.0,0.6,0.8,0.2,1.0,0.2,0.2,0.2
430,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.6,0.4,0.6
