Topic,CL99XTopt,Flab8at,GE8ATDN2,INQ602,Mer8Adtd4,acsys8alo2,apl8c621,att99ate,fub99td,ibms99c,isa50t,mds08a2,nttd8alx,orcl99man,plt8ah1
401,0.044,0.063,0.131,0.022,0.034,0.045,0.134,0.182,0.12,0.222,0.076,0.162,0.039,0.126,0.032
402,0.068,0.06,0.07,0.071,0.07,0.076,0.076,0.066,0.067,0.062,0.065,0.035,0.063,0.063,0.067
403,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
404,0.118,0.125,0.125,0.127,0.098,0.125,0.125,0.115,0.108,0.127,0.124,0.123,0.116,0.122,0.127
405,0.03,0.028,0.036,0.033,0.03,0.036,0.035,0.036,0.023,0.027,0.033,0.031,0.019,0.03,0.036
406,0.013,0.013,0.007,0.012,0.01,0.013,0.013,0.013,0.012,0.013,0.013,0.013,0.013,0.013,0.013
407,0.05,0.06,0.054,0.045,0.058,0.067,0.066,0.066,0.044,0.044,0.05,0.063,0.043,0.064,0.047
408,0.091,0.071,0.078,0.095,0.076,0.087,0.085,0.092,0.077,0.079,0.079,0.076,0.081,0.072,0.079
409,0.022,0.018,0.022,0.022,0.02,0.022,0.022,0.022,0.02,0.022,0.02,0.009,0.019,0.01,0.021
410,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.061,0.063,0.064,0.06,0.063,0.064,0.065,0.065
411,0.017,0.019,0.019,0.017,0.02,0.022,0.024,0.019,0.017,0.018,0.02,0.01,0.017,0.022,0.018
412,0.076,0.092,0.091,0.076,0.079,0.066,0.066,0.09,0.077,0.087,0.097,0.088,0.057,0.107,0.092
413,0.059,0.045,0.06,0.061,0.063,0.054,0.065,0.059,0.057,0.055,0.045,0.049,0.053,0.04,0.058
414,0.033,0.036,0.035,0.033,0.037,0.036,0.037,0.036,0.035,0.036,0.032,0.038,0.038,0.037,0.037
415,0.124,0.132,0.13,0.129,0.084,0.13,0.134,0.098,0.074,0.133,0.127,0.116,0.111,0.133,0.133
416,0.036,0.041,0.039,0.039,0.035,0.042,0.042,0.042,0.039,0.035,0.037,0.042,0.041,0.038,0.04
417,0.009,0.044,0.041,0.056,0.059,0.057,0.055,0.062,0.055,0.026,0.06,0.06,0.019,0.014,0.062
418,0.093,0.112,0.114,0.053,0.113,0.116,0.116,0.111,0.114,0.107,0.032,0.116,0.116,0.116,0.104
419,0.01,0.011,0.01,0.01,0.011,0.013,0.012,0.016,0.013,0.012,0.01,0.008,0.01,0.01,0.012
420,0.028,0.03,0.028,0.032,0.03,0.032,0.032,0.032,0.03,0.03,0.03,0.032,0.032,0.03,0.03
421,0.057,0.036,0.038,0.055,0.044,0.055,0.038,0.046,0.032,0.045,0.05,0.054,0.045,0.048,0.05
422,0.111,0.127,0.1,0.105,0.107,0.081,0.115,0.087,0.098,0.073,0.103,0.108,0.111,0.101,0.115
423,0.019,0.021,0.018,0.021,0.021,0.021,0.021,0.019,0.021,0.021,0.021,0.021,0.021,0.021,0.02
424,0.074,0.114,0.105,0.073,0.127,0.11,0.123,0.089,0.114,0.115,0.067,0.095,0.028,0.092,0.113
425,0.13,0.134,0.13,0.125,0.132,0.144,0.151,0.139,0.136,0.12,0.099,0.121,0.14,0.14,0.135
426,0.022,0.042,0.086,0.024,0.053,0.055,0.083,0.179,0.065,0.14,0.068,0.186,0.029,0.076,0.129
427,0.04,0.044,0.044,0.044,0.045,0.044,0.047,0.021,0.042,0.041,0.036,0.03,0.038,0.044,0.042
428,0.108,0.1,0.066,0.078,0.083,0.111,0.105,0.112,0.084,0.086,0.079,0.117,0.102,0.109,0.097
429,0.011,0.011,0.011,0.009,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
430,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
431,0.053,0.124,0.077,0.055,0.119,0.126,0.127,0.091,0.114,0.095,0.078,0.12,0.13,0.125,0.093
432,0.014,0.0,0.008,0.015,0.007,0.002,0.004,0.011,0.006,0.012,0.012,0.019,0.006,0.0,0.004
433,0.001,0.005,0.003,0.003,0.009,0.011,0.012,0.008,0.005,0.009,0.005,0.005,0.008,0.01,0.0
434,0.239,0.258,0.247,0.258,0.263,0.23,0.256,0.274,0.268,0.235,0.237,0.218,0.26,0.267,0.275
435,0.087,0.069,0.065,0.067,0.076,0.088,0.081,0.112,0.062,0.075,0.042,0.107,0.041,0.084,0.076
436,0.05,0.06,0.051,0.049,0.059,0.065,0.073,0.084,0.056,0.124,0.047,0.156,0.019,0.073,0.066
437,0.035,0.03,0.041,0.03,0.032,0.03,0.027,0.036,0.034,0.053,0.053,0.036,0.04,0.04,0.027
438,0.128,0.101,0.112,0.124,0.116,0.109,0.103,0.128,0.121,0.122,0.124,0.116,0.122,0.102,0.121
439,0.097,0.051,0.116,0.094,0.074,0.031,0.03,0.111,0.101,0.067,0.025,0.109,0.047,0.033,0.105
440,0.033,0.042,0.016,0.037,0.028,0.048,0.048,0.054,0.028,0.031,0.014,0.053,0.033,0.05,0.042
441,0.017,0.016,0.012,0.017,0.016,0.017,0.017,0.017,0.016,0.014,0.012,0.014,0.017,0.017,0.016
442,0.001,0.015,0.007,0.005,0.012,0.035,0.033,0.051,0.024,0.006,0.017,0.059,0.023,0.02,0.025
443,0.031,0.063,0.066,0.073,0.065,0.043,0.04,0.039,0.064,0.053,0.054,0.028,0.069,0.057,0.072
444,0.016,0.016,0.016,0.014,0.017,0.016,0.016,0.017,0.015,0.016,0.014,0.015,0.017,0.015,0.01
445,0.047,0.057,0.041,0.046,0.023,0.058,0.051,0.059,0.042,0.046,0.047,0.059,0.025,0.059,0.053
446,0.055,0.135,0.097,0.073,0.088,0.112,0.137,0.079,0.11,0.131,0.091,0.046,0.051,0.121,0.144
447,0.016,0.015,0.015,0.015,0.016,0.015,0.015,0.015,0.015,0.011,0.002,0.016,0.016,0.015,0.015
448,0.021,0.012,0.016,0.022,0.015,0.013,0.022,0.032,0.017,0.017,0.024,0.03,0.012,0.003,0.023
449,0.049,0.033,0.058,0.044,0.048,0.048,0.054,0.046,0.047,0.05,0.035,0.029,0.042,0.045,0.046
450,0.125,0.262,0.225,0.237,0.262,0.257,0.264,0.154,0.26,0.219,0.16,0.245,0.251,0.223,0.273
